,Juicy WOL,Yuicaw WOL,SiuFatBB WOL,Spring WOL,Lysoar WOL
Jemkin RRQ,3 3 +0,6 1 +5,1 2 -1,0 2 -2,0 1 -1
Monyet RRQ,1 1 +0,,0 1 -1,1 1 +0,1 0 +1
xffero RRQ,0 2 -2,0 1 -1,,1 0 +1,
Kushy RRQ,0 1 -1,,,,
crazyguy RRQ,1 5 -4,3 3 +0,1 0 +1,0 2 -2,
