,Juicy WOL,Yuicaw WOL,SiuFatBB WOL,Spring WOL,Lysoar WOL
Jemkin RRQ,0 1 -1,1 0 +1,1 0 +1,1 0 +1,
Monyet RRQ,0 2 -2,,,,
xffero RRQ,,,,,
Kushy RRQ,0 1 -1,,,,
crazyguy RRQ,0 2 -2,,,,
