,Juicy WOL,Yuicaw WOL,SiuFatBB WOL,Spring WOL,Lysoar WOL
Jemkin RRQ,,1 0 +1,1 0 +1,,
Monyet RRQ,0 1 -1,,,,
xffero RRQ,,,,,
Kushy RRQ,0 1 -1,,,,
crazyguy RRQ,,,,,
