,Juicy WOL,Yuicaw WOL,SiuFatBB WOL,Spring WOL,Lysoar WOL
Jemkin RRQ,2 0 +2,3 1 +2,0 2 -2,0 1 -1,0 1 -1
Monyet RRQ,1 0 +1,,0 1 -1,1 1 +0,1 0 +1
xffero RRQ,0 2 -2,0 1 -1,,1 0 +1,
Kushy RRQ,,,,,
crazyguy RRQ,0 2 -2,1 0 +1,1 0 +1,0 1 -1,
