,Juicy WOL,Yuicaw WOL,SiuFatBB WOL,Spring WOL,Lysoar WOL
Jemkin RRQ,3 1 +2,4 2 +2,4 6 -2,3 3 +0,2 5 -3
Monyet RRQ,4 5 -1,1 4 -3,2 2 +0,4 4 +0,4 2 +2
xffero RRQ,4 5 -1,3 5 -2,2 2 +0,2 5 -3,4 2 +2
Kushy RRQ,5 3 +2,7 4 +3,3 4 -1,3 2 +1,5 3 +2
crazyguy RRQ,1 3 -2,3 4 -1,2 3 -1,1 4 -3,3 1 +2
