,adverso KRÜ,Mazino KRÜ,Melser KRÜ,keznit KRÜ,Shyy KRÜ
Verno NRG,,,,0 1 -1,
Ethan NRG,1 0 +1,,,,
mada NRG,,2 0 +2,,3 3 +0,1 0 +1
FiNESSE NRG,,,,0 2 -2,
s0m NRG,,,1 0 +1,0 1 -1,
