,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
FiNESSE NRG,,1 Round 13 adverso Melser,,,,,,,,,28,0,0
s0m NRG,,1 Round 17 Mazino Shyy,,,,1 Round 20 Melser,,,,,36,0,0
mada NRG,,5 Round 11 Melser Shyy Round 12 adverso Melser mada Round 16 keznit Melser Round 17 Melser adverso Round 18 Mazino Shyy,4 Round 1 keznit Mazino Shyy Round 9 Melser Mazino adverso Round 14 Melser keznit Shyy Round 20 keznit Shyy Mazino,,1 Round 15 Melser Shyy Mazino keznit adverso,1 Round 12 Melser,,,,,80,0,0
Ethan NRG,,4 Round 5 Melser Shyy Round 9 keznit Shyy Round 16 adverso Mazino Round 18 Melser adverso,2 Round 12 Shyy keznit Mazino Round 19 adverso keznit Shyy,1 Round 21 keznit Shyy Mazino adverso,,,,,,,84,7,0
Verno NRG,,3 Round 11 adverso Mazino Round 14 Mazino adverso Round 23 adverso Mazino,,,,1 Round 13 Shyy,,,,,39,2,3
Melser KRÜ,,2 Round 4 mada Verno Round 6 Ethan s0m,1 Round 2 mada s0m FiNESSE,1 Round 20 mada FiNESSE Ethan Verno,,1 Round 21 Ethan,,,,,62,1,0
keznit KRÜ,,2 Round 3 mada s0m Round 6 mada FiNESSE,,,,,,,,,41,0,1
adverso KRÜ,,1 Round 8 FiNESSE Ethan,,,,,,,,,45,2,2
Mazino KRÜ,,3 Round 1 s0m FiNESSE Round 10 s0m Verno Round 12 Verno s0m,,,1 Round 7 mada s0m Ethan Verno FiNESSE,,,,,,50,2,1
Shyy KRÜ,,1 Round 8 mada s0m,1 Round 13 mada Ethan FiNESSE,,,,,,,,45,0,1
