,adverso KRÜ,Mazino KRÜ,Melser KRÜ,keznit KRÜ,Shyy KRÜ
Verno NRG,2 5 -3,5 0 +5,1 2 -1,0 4 -4,2 4 -2
Ethan NRG,2 4 -2,1 1 +0,1 1 +0,0 4 -4,2 5 -3
mada NRG,1 2 -1,2 3 -1,3 3 +0,7 3 +4,1 4 -3
FiNESSE NRG,1 8 -7,4 1 +3,2 3 -1,3 1 +2,1 4 -3
s0m NRG,4 2 +2,4 2 +2,2 1 +1,2 2 +0,2 8 -6
