,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
FiNESSE NRG,,1 Round 7 Mazino Melser,1 Round 15 Mazino keznit Shyy,,,,,,,,43,0,0
s0m NRG,,3 Round 9 adverso Melser Round 13 adverso keznit Round 17 adverso Mazino,1 Round 7 Shyy keznit adverso,,,,,,,,58,1,1
mada NRG,,2 Round 1 adverso keznit Round 11 Mazino keznit,,1 Round 12 keznit Mazino Melser Shyy mada,,1 Round 12 Shyy,,,,,50,1,0
Ethan NRG,,,1 Round 6 Melser Shyy adverso,,,1 Round 6 adverso,1 Round 1 Shyy Melser,,,,35,2,0
Verno NRG,,1 Round 4 Mazino Shyy,1 Round 16 Melser adverso Mazino,,,,,,,,32,0,0
Melser KRÜ,,2 Round 2 FiNESSE mada Round 15 mada FiNESSE,,,,,,,,,43,1,0
keznit KRÜ,,3 Round 3 Verno Ethan Round 8 mada Ethan Round 16 FiNESSE Ethan,1 Round 10 s0m Ethan Verno,,,,,,,,52,2,0
adverso KRÜ,,5 Round 2 Ethan Verno Round 8 FiNESSE s0m Round 9 Ethan mada Round 10 mada FiNESSE Round 20 Verno FiNESSE,2 Round 4 Ethan FiNESSE Verno Round 11 FiNESSE s0m Verno,,,,,,,,82,0,1
Mazino KRÜ,,,,,,,,,,,23,2,0
Shyy KRÜ,,5 Round 3 FiNESSE s0m Round 7 mada Verno Round 12 s0m FiNESSE Round 15 Ethan s0m Round 20 s0m Ethan,3 Round 1 FiNESSE mada Ethan Shyy Round 6 mada s0m Verno Round 19 Verno mada s0m,1 Round 13 s0m Verno FiNESSE Ethan,,,,,,,101,1,0
