,adverso KRÜ,Mazino KRÜ,Melser KRÜ,keznit KRÜ,Shyy KRÜ
Verno NRG,,1 0 +1,,0 1 -1,0 1 -1
Ethan NRG,0 1 -1,,1 0 +1,1 0 +1,
mada NRG,,2 1 +1,0 2 -2,2 1 +1,
FiNESSE NRG,0 1 -1,0 2 -2,,1 1 +0,0 1 -1
s0m NRG,,1 0 +1,0 1 -1,0 1 -1,
