,adverso KRÜ,Mazino KRÜ,Melser KRÜ,keznit KRÜ,Shyy KRÜ
Verno NRG,,,,,
Ethan NRG,,,,,
mada NRG,,1 0 +1,,0 1 -1,
FiNESSE NRG,,,,0 1 -1,
s0m NRG,,,1 0 +1,0 1 -1,
