,adverso KRÜ,Mazino KRÜ,Melser KRÜ,keznit KRÜ,Shyy KRÜ
Verno NRG,,0 1 -1,0 1 -1,0 1 -1,
Ethan NRG,,,0 1 -1,2 0 +2,1 1 +0
mada NRG,1 0 +1,0 1 -1,,1 1 +0,1 1 +0
FiNESSE NRG,0 1 -1,,0 1 -1,,1 0 +1
s0m NRG,,0 2 -2,,1 1 +0,
