,SiuFatBB WOL,Lysoar WOL,Juicy WOL,Yuicaw WOL,Spring WOL
f0rsakeN PRX,3 1 +2,5 2 +3,1 6 -5,2 3 -1,4 3 +1
PatMen PRX,3 4 -1,4 3 +1,2 3 -1,3 2 +1,2 3 -1
d4v41 PRX,1 3 -2,1 3 -2,5 4 +1,2 2 +0,5 3 +2
something PRX,2 2 +0,3 2 +1,6 2 +4,5 2 +3,3 5 -2
Jinggg PRX,5 3 +2,4 3 +1,2 3 -1,3 2 +1,1 3 -2
