,SiuFatBB WOL,Lysoar WOL,Juicy WOL,Yuicaw WOL,Spring WOL
f0rsakeN PRX,5 5 +0,8 3 +5,5 2 +3,3 4 -1,4 4 +0
PatMen PRX,0 3 -3,3 2 +1,5 6 -1,0 5 -5,3 2 +1
d4v41 PRX,7 1 +6,4 2 +2,6 3 +3,5 3 +2,4 7 -3
something PRX,3 4 -1,1 3 -2,4 3 +1,4 6 -2,4 2 +2
Jinggg PRX,2 2 +0,6 3 +3,3 5 -2,5 6 -1,4 3 +1
