,PatMen PRX,something PRX,f0rsakeN PRX,d4v41 PRX,Jinggg PRX
iZu T1,0 1 -1,,1 2 -1,0 1 -1,2 0 +2
DH T1,1 0 +1,0 2 -2,,2 0 +2,0 2 -2
BuZz T1,,3 1 +2,2 1 +1,0 2 -2,1 1 +0
stax T1,,,0 2 -2,0 1 -1,
Meteor T1,,0 1 -1,0 1 -1,0 1 -1,0 1 -1
