,NaturE EG,supamen EG,icy EG,Derrek EG,yay EG
keznit KRÜ,1 2 -1,1 0 +1,1 4 -3,,3 1 +2
Mazino KRÜ,,,4 2 +2,,0 2 -2
Melser KRÜ,1 0 +1,0 1 -1,3 1 +2,0 1 -1,0 2 -2
adverso KRÜ,,,0 1 -1,1 1 +0,
Shyy KRÜ,,0 1 -1,1 1 +0,,0 1 -1
