,NaturE EG,supamen EG,icy EG,Derrek EG,yay EG
keznit KRÜ,1 0 +1,1 0 +1,0 2 -2,,1 1 +0
Mazino KRÜ,,,3 2 +1,,0 2 -2
Melser KRÜ,1 0 +1,,1 0 +1,,0 1 -1
adverso KRÜ,,,,1 0 +1,
Shyy KRÜ,,0 1 -1,1 1 +0,,
