,johnqt SEN,N4RRATE SEN,bang SEN,Zellsis SEN,zekken SEN
v1nny LOUD,,,,1 1 +0,1 5 -4
pANcada LOUD,0 1 -1,1 0 +1,1 0 +1,2 1 +1,3 2 +1
dgzin LOUD,0 1 -1,4 0 +4,3 2 +1,3 1 +2,4 1 +3
tuyz LOUD,1 1 +0,,1 2 -1,2 1 +1,0 1 -1
cauanzin LOUD,3 1 +2,1 1 +0,2 1 +1,3 1 +2,4 6 -2
