,johnqt SEN,N4RRATE SEN,bang SEN,Zellsis SEN,zekken SEN
v1nny LOUD,,,,,
pANcada LOUD,,,,,0 1 -1
dgzin LOUD,1 0 +1,1 0 +1,2 0 +2,5 0 +5,0 1 -1
tuyz LOUD,0 1 -1,,,,
cauanzin LOUD,,,,,0 1 -1
