,johnqt SEN,N4RRATE SEN,bang SEN,Zellsis SEN,zekken SEN
v1nny LOUD,,,,,
pANcada LOUD,,,,,1 0 +1
dgzin LOUD,,2 0 +2,0 1 -1,2 0 +2,
tuyz LOUD,0 1 -1,,,0 1 -1,0 1 -1
cauanzin LOUD,0 1 -1,1 0 +1,1 0 +1,1 0 +1,3 6 -3
