,johnqt SEN,N4RRATE SEN,bang SEN,Zellsis SEN,zekken SEN
v1nny LOUD,,,,1 1 +0,1 2 -1
pANcada LOUD,,1 0 +1,1 0 +1,1 0 +1,2 0 +2
dgzin LOUD,,,1 1 +0,0 1 -1,2 1 +1
tuyz LOUD,1 0 +1,,1 1 +0,,
cauanzin LOUD,2 0 +2,,,1 1 +0,1 0 +1
