,johnqt SEN,N4RRATE SEN,bang SEN,Zellsis SEN,zekken SEN
v1nny LOUD,,,,,0 3 -3
pANcada LOUD,0 1 -1,,,1 1 +0,0 2 -2
dgzin LOUD,0 1 -1,2 0 +2,2 0 +2,1 0 +1,2 0 +2
tuyz LOUD,,,0 1 -1,2 0 +2,
cauanzin LOUD,1 0 +1,0 1 -1,1 1 +0,1 0 +1,
