,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Juicy WOL,,1 Round 21 t3xture Munchkin,1 Round 19 Foxy9 Munchkin Karon,,,,,,,,38,0,0
SiuFatBB WOL,,1 Round 17 Foxy9 Munchkin,,,,1 Round 9 Karon,,,,,42,1,0
Yuicaw WOL,,6 Round 6 Karon t3xture Round 9 t3xture Foxy9 Round 13 t3xture Munchkin Round 17 Ash t3xture Round 18 Karon t3xture Round 24 Ash Karon,,,,,,,,,62,2,1
Spring WOL,,4 Round 7 t3xture Karon Round 9 Ash Munchkin Round 12 Foxy9 Karon Round 14 Karon Munchkin,1 Round 23 Foxy9 Ash Munchkin,,,1 Round 23 Munchkin,,,,,87,2,0
Lysoar WOL,,6 Round 7 Munchkin Foxy9 Round 14 t3xture Foxy9 Round 16 t3xture Ash Round 21 Ash Foxy9 Round 22 Foxy9 Munchkin Round 24 t3xture Foxy9,,,,,,,,,59,0,1
Munchkin GEN,,2 Round 5 Yuicaw Spring Round 23 Juicy Lysoar,,,,,,,,,37,0,1
t3xture GEN,,1 Round 6 Spring SiuFatBB,2 Round 5 Juicy Lysoar SiuFatBB Round 11 Yuicaw SiuFatBB Spring,1 Round 1 Juicy Lysoar Yuicaw SiuFatBB,,,,,,,48,0,0
Foxy9 GEN,,4 Round 6 Juicy Yuicaw Round 10 Spring Lysoar Round 11 Lysoar Juicy Round 15 SiuFatBB Juicy,,1 Round 8 Juicy Lysoar SiuFatBB Yuicaw,,1 Round 6 Yuicaw,,,,,38,2,1
Ash GEN,,,,,,,,,,,19,1,0
Karon GEN,,4 Round 2 Yuicaw Lysoar Round 9 Yuicaw Spring Round 14 Lysoar SiuFatBB Round 15 Yuicaw Lysoar,1 Round 17 Lysoar Juicy Yuicaw,1 Round 4 Juicy Lysoar Yuicaw Spring,,1 Round 17 Yuicaw,,,,,69,1,0
