,Ash GEN,Foxy9 GEN,Karon GEN,t3xture GEN,Munchkin GEN
Spring WOL,,1 0 +1,,0 2 -2,1 0 +1
Juicy WOL,0 1 -1,2 0 +2,1 0 +1,,1 1 +0
Yuicaw WOL,,2 0 +2,0 1 -1,1 1 +0,
Lysoar WOL,,,1 0 +1,2 0 +2,1 0 +1
SiuFatBB WOL,,0 1 -1,,1 1 +0,
