,Ash GEN,Foxy9 GEN,Karon GEN,t3xture GEN,Munchkin GEN
Spring WOL,,,,0 1 -1,
Juicy WOL,,,,0 1 -1,1 0 +1
Yuicaw WOL,,,,0 1 -1,
Lysoar WOL,,,,,
SiuFatBB WOL,,,,,
