,Ash GEN,Foxy9 GEN,Karon GEN,t3xture GEN,Munchkin GEN
Spring WOL,,1 0 +1,,0 2 -2,
Juicy WOL,0 1 -1,0 3 -3,0 1 -1,1 4 -3,2 0 +2
Yuicaw WOL,,,1 0 +1,2 1 +1,
Lysoar WOL,1 0 +1,,1 0 +1,1 0 +1,
SiuFatBB WOL,1 0 +1,,,0 1 -1,
