,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Juicy WOL,,1 Round 20 Foxy9 Munchkin,,,,1 Round 8 Ash,,,,,41,0,1
SiuFatBB WOL,,4 Round 3 t3xture Karon Round 9 t3xture Ash Round 15 t3xture Ash SiuFatBB Round 22 Karon Ash,,,,1 Round 22 Ash,1 Round 15 Ash t3xture,,,,81,3,0
Yuicaw WOL,,3 Round 9 Foxy9 Karon Round 17 Foxy9 Ash Round 18 Ash Karon,2 Round 13 Foxy9 Munchkin Karon Round 22 t3xture Munchkin Foxy9,,,,,,,,53,0,1
Spring WOL,,5 Round 5 Karon Munchkin Round 15 Munchkin Karon Round 16 Munchkin Ash Round 18 t3xture Foxy9 Round 21 Karon Foxy9,1 Round 11 Munchkin Ash Karon,,,,,,,,62,4,0
Lysoar WOL,,3 Round 11 t3xture Foxy9 Round 20 Ash Karon Round 21 Munchkin t3xture,,,,,,,,,53,2,0
Munchkin GEN,,3 Round 3 Spring SiuFatBB Round 6 SiuFatBB Lysoar Round 15 Juicy Lysoar,,,,,,,,,46,1,0
t3xture GEN,,5 Round 1 Yuicaw SiuFatBB Round 12 Yuicaw SiuFatBB Round 14 Lysoar Yuicaw Round 16 Juicy Spring Round 20 Juicy Spring,1 Round 7 SiuFatBB Juicy Lysoar,1 Round 10 Yuicaw Lysoar Juicy SiuFatBB,,,,,,,68,0,0
Foxy9 GEN,,,1 Round 4 SiuFatBB Yuicaw Lysoar,,,,,,,,27,3,0
Ash GEN,,3 Round 1 Juicy Spring Round 8 Yuicaw SiuFatBB Round 14 Spring SiuFatBB,,1 Round 22 Juicy Yuicaw Spring Lysoar,,,,,,,65,3,0
Karon GEN,,3 Round 2 Yuicaw Juicy Round 7 Spring Yuicaw Round 12 Spring Juicy,,,,,,,,,36,3,0
