,liazzi MIBR,rich MIBR,mazin MIBR,Palla MIBR,artzin MIBR
jawgemo EG,1 2 -1,,0 1 -1,0 1 -1,
Apoth EG,,,0 2 -2,0 2 -2,
NaturE EG,,,,,
supamen EG,,,0 1 -1,1 1 +0,0 1 -1
Derrek EG,,,,1 1 +0,
