,liazzi MIBR,rich MIBR,mazin MIBR,Palla MIBR,artzin MIBR
jawgemo EG,1 2 -1,,0 1 -1,1 2 -1,0 3 -3
Apoth EG,0 2 -2,,0 2 -2,0 3 -3,1 1 +0
NaturE EG,,0 1 -1,,2 1 +1,
supamen EG,1 1 +0,1 0 +1,0 1 -1,2 4 -2,0 1 -1
Derrek EG,,,,2 1 +1,
