,purp0 GX,tomaszy GX,runneR GX,Cloud GX,westside GX
Boo TH,,1 1 +0,,0 1 -1,
MiniBoo TH,1 0 +1,0 1 -1,,2 4 -2,3 1 +2
RieNs TH,,,,1 0 +1,
benjyfishy TH,1 0 +1,3 0 +3,,,
Wo0t TH,,,,,1 0 +1
