,purp0 GX,tomaszy GX,runneR GX,Cloud GX,westside GX
Boo TH,9 10 -1,10 7 +3,7 3 +4,9 9 +0,8 5 +3
MiniBoo TH,8 8 +0,10 7 +3,7 6 +1,12 15 -3,12 4 +8
RieNs TH,10 7 +3,8 5 +3,9 6 +3,13 7 +6,11 10 +1
benjyfishy TH,11 7 +4,7 8 -1,11 7 +4,7 10 -3,9 10 -1
Wo0t TH,14 7 +7,11 11 +0,13 11 +2,11 9 +2,8 5 +3
