,purp0 GX,tomaszy GX,runneR GX,Cloud GX,westside GX
Boo TH,,,,,
MiniBoo TH,,,0 1 -1,,1 0 +1
RieNs TH,1 0 +1,0 1 -1,,1 0 +1,
benjyfishy TH,,0 1 -1,,,
Wo0t TH,,0 1 -1,,,
