,purp0 GX,tomaszy GX,runneR GX,Cloud GX,westside GX
Boo TH,1 3 -2,4 3 +1,1 1 +0,3 4 -1,2 1 +1
MiniBoo TH,6 1 +5,2 3 -1,1 1 +0,2 9 -7,4 2 +2
RieNs TH,3 3 +0,2 3 -1,3 1 +2,8 2 +6,5 3 +2
benjyfishy TH,3 2 +1,5 3 +2,6 2 +4,2 6 -4,1 3 -2
Wo0t TH,5 3 +2,2 4 -2,5 3 +2,2 2 +0,4 1 +3
