,purp0 GX,tomaszy GX,runneR GX,Cloud GX,westside GX
Boo TH,1 2 -1,2 2 +0,2 1 +1,2 1 +1,2 1 +1
MiniBoo TH,1 3 -2,3 1 +2,4 1 +3,5 1 +4,3 1 +2
RieNs TH,2 2 +0,4 0 +4,1 2 -1,2 1 +1,4 3 +1
benjyfishy TH,5 2 +3,1 2 -1,1 3 -2,3 1 +2,5 2 +3
Wo0t TH,5 2 +3,4 4 +0,6 3 +3,3 2 +1,2 0 +2
