,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Boo TH,,1 Round 7 runneR purp0,4 Round 2 tomaszy purp0 westside Round 6 runneR Cloud purp0 Round 8 Cloud westside purp0 Round 15 tomaszy westside purp0,,,1 Round 15 purp0,,,,,79,3,0
RieNs TH,,1 Round 24 Cloud purp0,1 Round 12 purp0 Cloud tomaszy,1 Round 4 runneR Cloud purp0 tomaszy,,,,,,,66,2,1
MiniBoo TH,,4 Round 7 tomaszy Cloud Round 18 westside tomaszy Round 19 westside Cloud Round 20 westside runneR,2 Round 9 tomaszy Cloud runneR Round 16 tomaszy westside purp0,,,,,,,,48,0,0
Wo0t TH,,3 Round 1 Cloud purp0 Round 2 Cloud runneR Round 17 tomaszy Cloud,,2 Round 3 Cloud westside tomaszy purp0 Round 23 runneR tomaszy Cloud purp0,,,,,,,60,0,0
benjyfishy TH,,2 Round 5 runneR westside Round 11 purp0 runneR,1 Round 10 runneR purp0 Cloud,,,,,,,,44,0,1
purp0 GX,,,1 Round 20 Boo benjyfishy RieNs,1 Round 11 RieNs Boo MiniBoo Wo0t,,,,,,,49,0,1
Cloud GX,,6 Round 1 MiniBoo RieNs Round 5 Wo0t tomaszy Round 18 MiniBoo Boo Round 19 Boo RieNs Round 20 Wo0t MiniBoo Round 24 MiniBoo Boo,,,,,,,,,53,1,1
tomaszy GX,,1 Round 14 MiniBoo Wo0t,1 Round 24 Wo0t RieNs benjyfishy,1 Round 22 MiniBoo Wo0t benjyfishy Boo,,,,,,,36,0,1
runneR GX,,4 Round 12 RieNs MiniBoo Round 16 Boo MiniBoo Round 19 benjyfishy Wo0t Round 21 MiniBoo Wo0t,,,,,2 Round 16 MiniBoo Boo Round 17 benjyfishy RieNs,,,,49,3,1
westside GX,,5 Round 12 benjyfishy Wo0t Round 13 Boo RieNs Round 17 MiniBoo Wo0t Round 18 RieNs benjyfishy Round 21 RieNs Boo,,1 Round 23 RieNs Wo0t benjyfishy Boo,,,,,1 Round 23 Boo benjyfishy RieNs Wo0t,,48,0,0
