,purp0 GX,tomaszy GX,runneR GX,Cloud GX,westside GX
Boo TH,7 5 +2,4 2 +2,4 1 +3,4 4 +0,4 3 +1
MiniBoo TH,1 4 -3,5 3 +2,2 4 -2,5 5 +0,5 1 +4
RieNs TH,5 2 +3,2 2 +0,5 3 +2,3 4 -1,2 4 -2
benjyfishy TH,3 3 +0,1 3 -2,4 2 +2,2 3 -1,3 5 -2
Wo0t TH,4 2 +2,5 3 +2,2 5 -3,6 5 +1,2 4 -2
