,purp0 GX,tomaszy GX,runneR GX,Cloud GX,westside GX
Boo TH,1 0 +1,,,0 1 -1,0 1 -1
MiniBoo TH,,,,2 0 +2,
RieNs TH,,,,1 0 +1,1 1 +0
benjyfishy TH,1 1 +0,,,,1 0 +1
Wo0t TH,3 0 +3,1 0 +1,,1 0 +1,
