,purp0 GX,tomaszy GX,runneR GX,Cloud GX,westside GX
Boo TH,1 0 +1,2 1 +1,,0 2 -2,0 1 -1
MiniBoo TH,1 1 +0,2 2 +0,,6 5 +1,5 1 +4
RieNs TH,1 1 +0,,1 0 +1,2 1 +1,2 2 +0
benjyfishy TH,2 1 +1,4 1 +3,0 1 -1,,1 0 +1
Wo0t TH,4 0 +4,2 0 +2,1 0 +1,2 1 +1,1 0 +1
