,benjyfishy TH,MiniBoo TH,Wo0t TH,RieNs TH,Boo TH
LewN BBL,0 2 -2,2 2 +0,1 5 -4,1 3 -2,0 1 -1
vakk BBL,,,1 0 +1,1 1 +0,
Jamppi BBL,2 0 +2,2 1 +1,,1 0 +1,0 1 -1
PROFEK BBL,,1 0 +1,,0 4 -4,1 0 +1
sociablEE BBL,0 1 -1,2 6 -4,0 1 -1,0 1 -1,
