,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
vakk BBL,,1 Round 13 RieNs MiniBoo,,,,,,,,,27,0,0
PROFEK BBL,,2 Round 8 Wo0t Boo Round 18 Boo Wo0t,,1 Round 7 Boo benjyfishy Wo0t RieNs,,1 Round 8 Boo,,,,,53,1,1
sociablEE BBL,,3 Round 1 benjyfishy MiniBoo Round 13 Boo benjyfishy Round 20 Boo MiniBoo,1 Round 14 RieNs Boo benjyfishy,,,,,,,,48,0,0
Jamppi BBL,,1 Round 18 RieNs MiniBoo,,1 Round 19 benjyfishy MiniBoo RieNs Boo,,,,,,,71,3,1
LewN BBL,,2 Round 6 benjyfishy RieNs Round 11 Boo Wo0t,1 Round 12 benjyfishy Wo0t MiniBoo,,,,,,,,39,1,0
Boo TH,,4 Round 6 PROFEK LewN Round 9 vakk sociablEE Round 10 Jamppi LewN Round 18 sociablEE vakk,,,,,,,,,61,2,0
RieNs TH,,2 Round 5 sociablEE vakk Round 15 vakk Jamppi,1 Round 11 vakk PROFEK sociablEE,1 Round 4 vakk LewN PROFEK sociablEE,,1 Round 11 sociablEE,,,,,75,4,0
MiniBoo TH,,3 Round 2 LewN Jamppi Round 14 Jamppi sociablEE Round 18 LewN PROFEK,1 Round 17 LewN sociablEE PROFEK,,,,,,,,54,0,0
Wo0t TH,,3 Round 1 sociablEE PROFEK Wo0t Round 2 vakk PROFEK Round 8 Jamppi vakk,,,,1 Round 1 PROFEK,,,,,48,3,0
benjyfishy TH,,3 Round 3 LewN sociablEE Round 10 vakk sociablEE Round 16 LewN vakk,,,,1 Round 18 Jamppi,,,,,57,1,2
