,benjyfishy TH,MiniBoo TH,Wo0t TH,RieNs TH,Boo TH
LewN BBL,7 8 -1,4 3 +1,6 8 -2,6 6 +0,4 10 -6
vakk BBL,2 8 -6,3 5 -2,5 4 +1,8 8 +0,5 8 -3
Jamppi BBL,8 4 +4,12 9 +3,5 10 -5,6 6 +0,6 6 +0
PROFEK BBL,5 7 -2,5 5 +0,5 7 -2,4 9 -5,5 4 +1
sociablEE BBL,5 7 -2,8 9 -1,4 7 -3,5 6 -1,6 5 +1
