,benjyfishy TH,MiniBoo TH,Wo0t TH,RieNs TH,Boo TH
LewN BBL,4 1 +3,3 0 +3,2 7 -5,4 4 +0,3 5 -2
vakk BBL,2 6 -4,1 2 -1,2 2 +0,5 2 +3,4 5 -1
Jamppi BBL,6 3 +3,6 4 +2,4 5 -1,3 4 -1,3 3 +0
PROFEK BBL,2 6 -4,3 2 +1,2 5 -3,1 3 -2,2 1 +1
sociablEE BBL,1 4 -3,4 7 -3,2 4 -2,4 1 +3,2 3 -1
