,benjyfishy TH,MiniBoo TH,Wo0t TH,RieNs TH,Boo TH
LewN BBL,3 7 -4,1 3 -2,4 1 +3,2 2 +0,1 5 -4
vakk BBL,0 2 -2,2 3 -1,3 2 +1,3 6 -3,1 3 -2
Jamppi BBL,2 1 +1,6 5 +1,1 5 -4,3 2 +1,3 3 +0
PROFEK BBL,3 1 +2,2 3 -1,3 2 +1,3 6 -3,3 3 +0
sociablEE BBL,4 3 +1,4 2 +2,2 3 -1,1 5 -4,4 2 +2
