,Jamppi BBL,sociablEE BBL,PROFEK BBL,LewN BBL,MAGNUM BBL
KovaQ VIT,1 5 -4,6 3 +3,0 5 -5,4 3 +1,5 0 +5
Less VIT,6 3 +3,4 3 +1,4 1 +3,2 7 -5,1 2 -1
Kicks VIT,3 3 +0,1 3 -2,5 4 +1,2 5 -3,0 4 -4
Derke VIT,3 2 +1,1 2 -1,4 4 +0,4 4 +0,7 4 +3
UNFAKE VIT,1 2 -1,2 2 +0,1 3 -2,4 7 -3,0 5 -5
