,Jamppi BBL,sociablEE BBL,PROFEK BBL,LewN BBL,MAGNUM BBL
KovaQ VIT,0 1 -1,3 2 +1,0 4 -4,2 6 -4,0 7 -7
Less VIT,5 2 +3,6 1 +5,3 6 -3,5 3 +2,5 3 +2
Kicks VIT,1 3 -2,2 1 +1,3 2 +1,1 7 -6,1 7 -6
Derke VIT,2 2 +0,1 6 -5,3 2 +1,3 4 -1,3 2 +1
UNFAKE VIT,1 2 -1,2 4 -2,2 6 -4,2 4 -2,1 1 +0
