,Jamppi BBL,sociablEE BBL,PROFEK BBL,LewN BBL,MAGNUM BBL
KovaQ VIT,,2 1 +1,,1 3 -2,0 2 -2
Less VIT,,1 0 +1,0 1 -1,1 1 +0,
Kicks VIT,,,0 1 -1,,
Derke VIT,,0 1 -1,,0 1 -1,0 1 -1
UNFAKE VIT,,0 1 -1,0 1 -1,0 1 -1,
