,Jamppi BBL,sociablEE BBL,PROFEK BBL,LewN BBL,MAGNUM BBL
KovaQ VIT,8 8 +0,15 11 +4,3 11 -8,12 12 +0,6 8 -2
Less VIT,14 5 +9,17 5 +12,10 11 -1,10 14 -4,8 10 -2
Kicks VIT,6 9 -3,7 5 +2,10 10 +0,6 16 -10,6 16 -10
Derke VIT,8 5 +3,5 12 -7,13 8 +5,11 13 -2,16 10 +6
UNFAKE VIT,8 8 +0,4 12 -8,5 12 -7,9 12 -3,3 9 -6
