,Jamppi BBL,sociablEE BBL,PROFEK BBL,LewN BBL,MAGNUM BBL
KovaQ VIT,7 2 +5,6 6 +0,3 2 +1,6 3 +3,1 1 +0
Less VIT,3 0 +3,7 1 +6,3 4 -1,3 4 -1,2 5 -3
Kicks VIT,2 3 -1,4 1 +3,2 4 -2,3 4 -1,5 5 +0
Derke VIT,3 1 +2,3 4 -1,6 2 +4,4 5 -1,6 4 +2
UNFAKE VIT,6 4 +2,0 6 -6,2 3 -1,3 1 +2,2 3 -1
