,Jamppi BBL,sociablEE BBL,PROFEK BBL,LewN BBL,MAGNUM BBL
KovaQ VIT,,0 1 -1,,,
Less VIT,,,,0 2 -2,1 0 +1
Kicks VIT,,,,,
Derke VIT,,1 1 +0,,1 2 -1,1 0 +1
UNFAKE VIT,,0 1 -1,,0 1 -1,
