,Jamppi BBL,sociablEE BBL,PROFEK BBL,LewN BBL,MAGNUM BBL
KovaQ VIT,,1 1 +0,,2 2 +0,2 0 +2
Less VIT,,1 1 +0,,0 1 -1,1 0 +1
Kicks VIT,1 0 +1,0 1 -1,1 0 +1,1 1 +0,
Derke VIT,,1 0 +1,0 1 -1,,
UNFAKE VIT,0 1 -1,,1 0 +1,0 1 -1,0 1 -1
