,Jamppi BBL,sociablEE BBL,PROFEK BBL,LewN BBL,MAGNUM BBL
KovaQ VIT,2 1 +1,3 3 +0,,3 6 -3,2 2 +0
Less VIT,,3 1 +2,1 2 -1,2 5 -3,1 0 +1
Kicks VIT,1 1 +0,0 1 -1,1 1 +0,1 1 +0,2 0 +2
Derke VIT,,2 3 -1,1 1 +0,1 2 -1,1 1 +0
UNFAKE VIT,1 2 -1,0 1 -1,1 1 +0,0 2 -2,0 1 -1
