,Jamppi BBL,sociablEE BBL,PROFEK BBL,LewN BBL,MAGNUM BBL
KovaQ VIT,,0 1 -1,,,
Less VIT,,,,,
Kicks VIT,,,,,
Derke VIT,,1 1 +0,,,
UNFAKE VIT,,0 1 -1,,,
