,Jamppi BBL,sociablEE BBL,PROFEK BBL,LewN BBL,MAGNUM BBL
KovaQ VIT,2 1 +1,0 1 -1,,0 1 -1,
Less VIT,,1 0 +1,1 1 +0,1 3 -2,
Kicks VIT,0 1 -1,,,,2 0 +2
Derke VIT,,1 2 -1,1 0 +1,1 1 +0,1 0 +1
UNFAKE VIT,1 1 +0,,,,
