,crazyguy RRQ,Kushy RRQ,Monyet RRQ,Jemkin RRQ,xffero RRQ
t3xture GEN,1 1 +0,2 3 -1,4 4 +0,2 6 -4,4 2 +2
Ash GEN,3 0 +3,1 6 -5,2 1 +1,3 2 +1,0 2 -2
Munchkin GEN,2 5 -3,2 3 -1,3 2 +1,4 1 +3,6 2 +4
Karon GEN,5 1 +4,4 2 +2,3 1 +2,3 4 -1,4 1 +3
Foxy9 GEN,4 1 +3,5 3 +2,4 1 +3,4 6 -2,2 3 -1
