,crazyguy RRQ,Kushy RRQ,Monyet RRQ,Jemkin RRQ,xffero RRQ
t3xture GEN,3 4 -1,1 0 +1,4 2 +2,5 5 +0,4 6 -2
Ash GEN,1 6 -5,3 3 +0,1 2 -1,0 3 -3,6 3 +3
Munchkin GEN,3 1 +2,3 3 +0,4 3 +1,3 10 -7,1 3 -2
Karon GEN,3 2 +1,5 5 +0,2 6 -4,6 7 -1,2 2 +0
Foxy9 GEN,3 2 +1,3 6 -3,3 3 +0,3 2 +1,4 3 +1
