,crazyguy RRQ,Kushy RRQ,Monyet RRQ,Jemkin RRQ,xffero RRQ
t3xture GEN,4 3 +1,3 4 -1,3 5 -2,2 4 -2,6 2 +4
Ash GEN,2 3 -1,2 4 -2,4 4 +0,3 7 -4,1 1 +0
Munchkin GEN,4 4 +0,3 1 +2,2 6 -4,3 5 -2,7 2 +5
Karon GEN,3 4 -1,5 2 +3,4 5 -1,3 5 -2,2 3 -1
Foxy9 GEN,3 3 +0,2 1 +1,3 5 -2,4 3 +1,1 5 -4
