,crazyguy RRQ,Kushy RRQ,Monyet RRQ,Jemkin RRQ,xffero RRQ
t3xture GEN,,,1 0 +1,,
Ash GEN,,,,,
Munchkin GEN,,,,1 1 +0,
Karon GEN,,,,0 2 -2,
Foxy9 GEN,,,,,
