,crazyguy RRQ,Kushy RRQ,Monyet RRQ,Jemkin RRQ,xffero RRQ
t3xture GEN,0 2 -2,2 0 +2,2 0 +2,0 2 -2,0 1 -1
Ash GEN,1 0 +1,,0 1 -1,0 1 -1,1 0 +1
Munchkin GEN,,,,1 1 +0,2 0 +2
Karon GEN,,1 0 +1,,0 1 -1,
Foxy9 GEN,,,1 0 +1,0 1 -1,
