,crazyguy RRQ,Kushy RRQ,Monyet RRQ,Jemkin RRQ,xffero RRQ
t3xture GEN,0 1 -1,,1 0 +1,2 2 +0,0 2 -2
Ash GEN,,,0 1 -1,,
Munchkin GEN,2 0 +2,1 1 +0,,1 5 -4,
Karon GEN,,,,,
Foxy9 GEN,,0 2 -2,,1 2 -1,
