,crazyguy RRQ,Kushy RRQ,Monyet RRQ,Jemkin RRQ,xffero RRQ
t3xture GEN,1 0 +1,,1 1 +0,1 0 +1,1 0 +1
Ash GEN,,,1 0 +1,,
Munchkin GEN,,,,1 2 -1,
Karon GEN,,,,0 3 -3,
Foxy9 GEN,,,0 1 -1,0 1 -1,
