,crazyguy RRQ,Kushy RRQ,Monyet RRQ,Jemkin RRQ,xffero RRQ
t3xture GEN,10 13 -3,11 10 +1,13 13 +0,13 20 -7,15 14 +1
Ash GEN,9 11 -2,9 18 -9,8 10 -2,8 16 -8,11 10 +1
Munchkin GEN,12 12 +0,12 9 +3,10 18 -8,13 18 -5,18 13 +5
Karon GEN,15 10 +5,18 12 +6,11 16 -5,15 18 -3,10 12 -2
Foxy9 GEN,13 9 +4,11 15 -4,16 11 +5,15 17 -2,9 14 -5
