,crazyguy RRQ,Kushy RRQ,Monyet RRQ,Jemkin RRQ,xffero RRQ
t3xture GEN,0 3 -3,2 1 +1,6 3 +3,4 6 -2,2 3 -1
Ash GEN,1 1 +0,0 1 -1,2 3 -1,1 2 -1,1 0 +1
Munchkin GEN,2 0 +2,1 2 -1,1 1 +0,5 9 -4,4 0 +4
Karon GEN,1 1 +0,2 0 +2,1 0 +1,0 2 -2,1 0 +1
Foxy9 GEN,1 0 +1,0 3 -3,1 0 +1,2 7 -5,0 1 -1
