,crazyguy RRQ,Kushy RRQ,Monyet RRQ,Jemkin RRQ,xffero RRQ
t3xture GEN,2 5 -3,5 3 +2,2 2 +0,4 5 -1,1 4 -3
Ash GEN,3 2 +1,3 5 -2,1 3 -2,2 4 -2,4 4 +0
Munchkin GEN,3 2 +1,4 2 +2,1 7 -6,3 2 +1,4 6 -2
Karon GEN,4 3 +1,4 3 +1,2 4 -2,3 2 +1,2 6 -4
Foxy9 GEN,3 3 +0,1 5 -4,6 2 +4,4 6 -2,2 3 -1
