,crazyguy RRQ,Kushy RRQ,Monyet RRQ,Jemkin RRQ,xffero RRQ
t3xture GEN,,,,,
Ash GEN,,,,,
Munchkin GEN,,,,0 1 -1,
Karon GEN,,,,0 1 -1,
Foxy9 GEN,,,,0 1 -1,
